Female_4m_F1a	Female_4m_F1b	Female_4m_F2a	Female_4m_F2b	Female_20m_F3a	Female_20m_F3b	Female_20m_F4a	Female_20m_F4b	Male_4m_M1a	Male_4m_M1b	Male_4m_M2a	Male_4m_M2b	Male_20m_M3a	Male_20m_M3b	Male_20m_M4a	Male_20m_M4b
Ncoa2	9.73871143161857	9.80890225236094	9.61077392194278	9.75872767865887	9.8671898682238	9.68853833329749	9.70634905786055	9.60285154764527	9.46998138490384	9.78532353803617	9.60336647129363	9.62180156962099	9.78931742716933	9.69546089239691	9.47850137666689	9.52606549177514
Tram1	8.56578529244797	8.41700700264863	8.48114628543309	8.38609327887679	8.33362400365838	8.56036524340936	8.18988522741973	8.78696233018017	8.62465653401794	8.65667630518607	8.57699711530593	8.58608144750744	8.4014618650569	8.57880750215842	8.37393231042519	8.44761355048385
Lactb2	7.0165080674755	6.76888578852096	7.22886717083155	6.81330078933092	6.88791572799294	6.64285963806358	6.42765056014118	6.45234176917723	7.0360154897779	7.16635897583733	6.68928762080403	7.21457390899749	6.57527136255348	6.82338910033937	6.39865001657221	6.3563160339975
Gm5523	5.45453774141534	5.79279872870655	5.56394620934932	5.6452464667098	5.52487887182669	5.91747555685767	5.56521019465165	5.515501814892	5.74511973264626	5.776431428082	5.55365550620242	5.73055150529521	5.23012230680881	5.23012230680881	5.55262850789669	5.37749871112413
Eya1	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881
Terf1	7.10182124954873	6.68776306760927	6.88844793644224	6.95107681048697	6.79032014995843	6.96257504752246	6.92352232387695	6.88023726550489	7.02721164393641	6.74834720122277	7.04724071901777	6.80589058019648	6.93951425999591	6.86600336658227	7.05859164455897	7.13628359130516
Rpl7	10.5277910771545	9.92502726034835	10.2291849984225	10.3176981143303	10.0265825518029	10.3450553777804	10.1485204011588	10.5421032346971	10.5648337566797	10.1655852131762	10.4376946627925	10.3713177761542	10.3874276797898	10.2888446285311	10.4534164778157	10.5755579375215
Rdh10	6.3518316204236	6.31662271980529	6.27424102755291	6.25522109108335	6.18600014267841	6.31042501044402	6.34022725087375	6.2429353653347	6.28340764017159	6.17027819707667	6.38862760724058	6.12515036993066	6.09740167400489	6.3478790195171	6.1931864332395	6.28468622925277
Stau2	5.67687882172649	5.52277043055001	5.45762309813442	5.38272144375561	5.61985314203275	5.23012230680881	5.38382910703835	5.64695779036157	5.38213556535196	5.23012230680881	5.37820057536399	5.23012230680881	5.45659389806311	5.23012230680881	5.37770064435634	5.44940842625265
Ube2w	9.33666282474783	9.17972467041005	8.97302581596754	8.87210475668429	8.80688611862307	8.89032861670308	8.56025838494164	8.60437383417713	9.03136370313645	9.4452294421461	8.58335339601621	9.19375832453818	8.51273608474558	8.76574265846278	8.28601098412072	8.16227238282759
Tceb1	8.8062346524501	9.02163638322427	8.60827058929145	8.3557935772178	8.57961456069323	8.6857332100055	8.12456517212858	8.40341340399102	8.77039718558189	9.44722512737764	8.05503704736665	9.07375923515417	8.15842088638964	8.27831760689078	8.04800713933145	7.69371510612958
Tmem70	6.38051363197509	6.17953126414887	6.13820338629119	6.28703273358522	6.32399462796755	6.15180430333003	6.32499106316224	6.10199203065606	6.28340764017159	6.15263382766105	6.11149762275002	6.30296194512614	6.31651733046106	6.28349275822375	6.20923099844464	6.20803419703126
Ly96	6.62374345341798	7.22664146658233	6.87855802379063	6.46114713013055	6.82361166384722	6.7612235760738	6.61014483252397	6.60671416194625	6.71202449941961	6.8524689103003	6.41554131228541	6.7611319943949	6.39020764511109	6.3478790195171	6.27105844678303	6.15917623991765
Il17f	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881
Mcm3	8.71472430049683	8.73499348834561	9.07142989623011	9.11306484260506	8.77850416516856	8.92213997732427	8.98545067754082	8.61100945039111	9.18449342573905	9.22573309486504	9.0776045589736	9.48269650235784	9.0548912517755	8.99305076142526	9.1090463760821	9.00826190493651
Paqr8	5.559538555659	5.57275947852863	5.23012230680881	5.68144129012525	5.57520884097872	5.45186718208998	5.45850771363722	5.83534624661538	5.8307918751931	5.71469322233751	5.59559377779243	5.95387620933558	5.5139147347289	5.72908956573155	5.55262850789669	5.59397187844228
Efhc1	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881
Tram2	7.66711283475602	8.17946901747305	7.93844361842269	7.92698465396102	8.33775643326389	8.33818611986045	7.80193528606106	8.57418731474137	7.30741730654643	7.48428753695862	7.55006223238639	7.25539165783356	7.14961183537498	7.41722468870923	7.42049102641259	7.39870367637469
Gm4956	5.38106552475934	5.38750942556027	5.38321309634261	5.23012230680881	5.23012230680881	5.37920791631273	5.38382910703835	5.38339444468453	5.38213556535196	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.44969899447822	5.23012230680881
Kcnq5	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.52487887182669	5.37920791631273	5.38382910703835	5.56431832921867	5.38213556535196	5.23012230680881	5.23012230680881	5.23012230680881	5.38249655292553	5.38743265934198	5.37770064435634	5.37749871112413
Ogfrl1	10.2445995125626	9.89152513346592	9.97100578847338	10.0783930883994	9.92098759262426	9.99936301850785	9.92187989737747	9.89460952986343	9.78801376349488	9.95078782141557	10.104626624345	9.66507568832684	10.0566852461162	9.94726524019601	10.0201184215501	10.0946695590456
B3gat2	5.38106552475934	5.79279872870655	5.83469032622881	5.51431228205103	5.9806576759639	5.50809815058779	5.68449197929771	5.23012230680881	5.67982729742081	5.90793975002778	5.81653836164565	5.73055150529521	5.5624757764599	5.72908956573155	5.55262850789669	5.44940842625265
Smap1	9.11277667391564	8.92373471875825	9.01776151596435	8.81773920112308	8.7721317490576	8.7186403228172	8.64387781955817	8.55033093365781	8.95323334912018	8.99412716750359	8.68193477079785	8.98686107824111	8.66543791347394	8.68151361131442	8.49778424830103	8.44420089612162
Sdhaf4	5.38106552475934	5.38750942556027	5.45762309813442	5.38272144375561	5.3887038392949	5.37920791631273	5.38382910703835	5.45788353909726	5.45607530776594	5.38254811472824	5.5063152137319	5.38792911403481	5.5139147347289	5.38743265934198	5.44969899447822	5.50507257793994
Fam135a	6.83885251364775	6.65146380059043	6.40930694497888	6.43386010301793	9.31345129336562	8.69477160575848	7.80732995749654	9.39614675467896	6.11419463709653	5.68096382695058	6.31848356314704	5.73055150529521	6.55045226572741	7.08890253051548	6.09102066387216	6.83504983108476
Lmbrd1	9.12946003733278	9.33774481316031	9.02294720845022	8.95452863078222	8.93915897214884	9.0091411133358	8.63733824660722	8.98388494807848	8.88245907632771	9.55719720427725	8.66992174894147	9.16643269943646	8.6968857523166	8.79083646058766	8.62860724924252	8.3956858917325
Phf3	11.2989165421219	11.1043714908557	10.9931021946453	11.2993383674909	11.1724742346912	11.3049938237947	10.9227297684027	10.9712694227947	10.7926723920728	11.3534551810933	10.8982920338368	10.9878480366946	10.8274937682826	10.9453801667236	10.6349497565256	10.6394859904823
Ptp4a1	10.9111100031208	9.81566665762287	10.0398198701809	9.73873118614894	8.87431895162021	9.99798753362808	8.97206993163327	9.21889466042151	9.77828626690148	10.4403584264429	8.98767569288324	9.81923337698401	8.64949191506454	8.8063327904095	8.4540992249175	8.24885280290025
4931428L18Rik	5.82691859424485	5.52277043055001	5.51518130319677	5.60603810266407	5.57520884097872	5.50809815058779	5.56521019465165	5.60759256681342	5.38213556535196	5.23012230680881	5.55365550620242	5.23012230680881	5.5139147347289	5.38743265934198	5.37770064435634	5.50507257793994
Prim2	8.04620350167471	7.83772641342735	8.08925767117808	8.06895514240383	7.89099460287265	8.09510319712517	7.84985233597672	7.37889533232337	8.11437313610725	8.37980530164521	7.95201093219319	8.26397479853218	7.76322208683354	7.84225326764183	7.66918211687496	7.59383100202646
1700001G17Rik	5.559538555659	5.76193336642452	5.45762309813442	5.38272144375561	5.93279665559267	5.50809815058779	5.68449197929771	5.38339444468453	5.7134762241687	5.51400588462793	5.59559377779243	5.52351134994004	5.68082178698943	5.65722159339809	5.73121726719643	5.66704378024779
Rab23	7.56106105904306	7.56207532514032	7.35555880463093	7.56263557218419	7.62774442196007	7.48921758757046	7.7801745290954	7.63769267214125	7.1458248776173	7.20610590424094	7.33349613812457	7.19792446513527	7.73016765749745	7.48745808784636	7.41405139837875	7.55320476155017
Bag2	6.16208133576529	6.16105188021573	6.15624173830852	6.07945895287846	6.23985973900996	6.18552719656834	6.12303235858898	5.93496790169318	6.03718809300347	6.33197310144165	6.01834978104921	6.10549417172487	6.09740167400489	6.24983204371309	6.10883085075081	5.99514846658253
Zfp451	9.3261518758235	9.06191144389361	9.43010248914069	9.21484275932154	9.07251742923585	9.07276326342632	8.64713815003363	8.88829670133762	9.2572301021734	9.5098561998245	9.01491704644158	9.48476792702178	8.80548505648618	9.00131534450367	8.51100197910545	8.53076625386993
Gm15455	5.45453774141534	5.38750942556027	5.38321309634261	5.45691694304548	5.23012230680881	5.37920791631273	5.56521019465165	5.38339444468453	5.38213556535196	5.38254811472824	5.5063152137319	5.46439135217699	5.38249655292553	5.38743265934198	5.37770064435634	5.44940842625265
Dst	5.71031884627967	5.61709539740672	5.56394620934932	5.56293729923336	5.66045090945854	5.59792135705354	5.75042210786467	5.56431832921867	5.56173491564342	5.45666796619519	5.59559377779243	5.46439135217699	5.68082178698943	5.69441036635516	5.55262850789669	5.63195796065876
Mir5103	5.64103477219815	5.87712135555418	6.72117941998743	5.71520448179183	6.46133968484911	5.79341302821537	5.45850771363722	6.70030136366114	6.48356362322338	6.17027819707667	5.5063152137319	6.84926266918465	5.60551864253166	5.61691814605705	6.7271687515502	5.66704378024779
Ccdc115	6.73549251444861	6.71143334197915	6.92732931262545	6.56465460935744	6.72125597822857	6.67617565360272	6.58562214569504	6.63073342919444	6.91709978482163	6.71553077180616	6.94368588572008	6.65479096605925	6.63532338622832	6.80158662950107	6.87482164907822	6.83504983108476
Imp4	6.09008211908655	6.17953126414887	6.10106504760218	6.03998992406932	6.22221458150764	6.08057371095954	6.21199107970693	6.08282661266587	6.21902613805445	5.99780477083199	6.14622794363144	6.10549417172487	6.09740167400489	6.17911542162016	6.17688541687481	6.1757272427727
Ptpn18	8.00508832626763	8.14783829781699	8.21503549886816	8.19973628852245	8.3044097957414	8.09510319712517	8.2278878092731	8.33074273158959	7.63994993174649	7.9097990966163	8.02877350681614	7.83749281730988	8.33332059325507	8.19622814369352	7.92658207761496	8.11308777901603
Arhgef4	6.64684732666329	6.81319993706641	6.95580551580043	6.85405904450399	6.79032014995843	6.72994372910843	7.27397944061354	7.15081974186795	6.50960984436528	6.34690129157222	6.8222544941815	6.53925663413611	7.1249640648252	6.89713811221496	7.01693629902359	7.21192552329736
Fam168b	8.9520379890067	9.01346434717432	8.99159060569077	9.26684739498778	9.12251567260722	9.23514314831815	9.6101296443608	9.38364266890801	8.77632856413483	8.58160632571169	9.28651147140538	8.6721923537413	9.41617889891276	9.08180208008588	9.50240016137108	9.6769748573579
Plekhb2	7.51779271022141	7.41087672228905	7.53715483923517	7.71620838116359	7.60209607884998	7.92828880313319	7.86551544290274	7.97021147281362	7.3146888670705	7.29733560117265	7.4134981299159	7.37894512989132	7.59669198946034	7.47366726083245	7.66369840043996	7.70976699278498
Hs6st1	8.13835541357378	7.95456015583481	7.92854360337636	8.13126360737006	8.394572234014	8.28159406375682	8.06580877645342	7.76367598726567	7.8843064960428	8.32632219125611	7.80710894157807	8.18518805789338	8.2007516210993	8.09115218401118	7.55570743379673	7.66111684867053
Uggt1	10.1032644099854	9.95165677771149	10.0704193913242	10.0044733915861	9.86884620289308	10.0941849064818	10.0291852566922	10.2559098959985	10.1245320622565	10.1316872303101	10.1708110113336	10.0943277670736	10.2042067396816	10.2517976132415	10.3499994087517	10.3288364161166
Mir6897	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881
Neurl3	10.2721658378715	10.3750354941024	10.027135264392	10.5660635587644	10.5797421800565	10.7757918847031	10.862802689821	10.5949124389267	9.62505755764131	10.0903290933339	10.2273377017102	9.68904407308446	10.661904986887	10.1449992857656	10.6303784478686	10.6458310054113
Arid5a	10.0346184957926	10.3374444137544	9.53627789829876	10.0865549336645	10.4343244434247	10.1503041722243	10.0892550419564	9.920531480494	10.4265827717082	10.4283306337531	10.1286626257995	10.3749345399869	10.1334264021583	9.98724792993553	10.2945760086918	10.0729054233513
Kansl3	8.83472671155173	8.84110010248348	8.8049055297436	8.80899276854658	8.91879733029618	8.83040197187567	9.05847815534182	8.7446616442259	8.84592576673779	8.67572397548579	8.92407378676099	8.75412960455867	8.98544467125387	8.96520540338892	8.95181101033629	9.01801856459558
Mir6898	5.38106552475934	5.87712135555418	5.23012230680881	5.51431228205103	5.23012230680881	5.23012230680881	5.23012230680881	5.56431832921867	5.23012230680881	6.05909992953459	5.81653836164565	5.38792911403481	5.60551864253166	5.76169341453367	5.23012230680881	5.37749871112413
Fer1l5	6.30741125806341	6.58867744956349	7.43894929495557	7.06804755116549	7.25546983371683	6.23410076748127	6.50912601227345	6.29119571090501	6.34420747458406	6.94000833795883	7.25620482156314	6.77245676830444	7.27448367544764	7.37347175212548	7.06677975128644	7.09693641738476
Lman2l	7.331348018736	7.46062166431115	7.43217272522717	7.39221911419318	7.27963038706506	7.59199575658652	7.65490613088795	7.45451647946428	7.45318638392261	7.50370908959039	7.54411058058565	7.43710974635586	7.51590925703795	7.52140347769068	7.744033301577	7.66111684867053
Cnnm4	8.40974040036105	8.68928817271465	8.46321086790844	8.40104164644186	8.61501386719893	8.54073248056254	8.54648736127393	8.23836270561347	8.39245452766809	8.53765444311713	8.39567792444872	8.40342252195487	8.39029427476296	8.30342929212433	8.27469103414089	8.22956422891415
Cnnm3	6.69189252557959	6.68776306760927	6.80731073927552	6.88387052361178	6.7790446084642	6.89860176781857	7.1470927238761	7.02190934177793	6.45695715248444	6.61204176086879	6.89820966697193	6.5257580853236	7.10829668816793	7.17598004265202	7.09106865892919	7.24112242719479
Ankrd23	6.29220426046904	6.26724655492929	6.42338629811335	6.4475803214336	6.41730914760038	6.15180430333003	6.44161290586725	6.39628601933808	6.3293136794788	6.17027819707667	6.4802977527698	6.31921346404784	6.49931438092922	6.62610699797497	6.77813872012528	6.74597910226535
Ankrd39	5.60221298964483	5.72931563865516	5.7484938163203	5.68144129012525	5.69790689844841	5.79341302821537	5.91311811012601	5.83534624661538	5.7134762241687	5.68096382695058	5.66897992464686	5.76324509223787	5.8048139714184	5.76169341453367	5.86468131957851	5.81399312121193
Sema4c	5.60221298964483	5.23012230680881	5.38321309634261	5.6452464667098	5.3887038392949	5.45186718208998	5.6480629400587	5.38339444468453	5.60468480235646	5.23012230680881	5.5063152137319	5.52351134994004	5.5139147347289	5.61691814605705	5.59443852940531	5.78748062955249
Fam178b	5.23012230680881	5.38750942556027	5.38321309634261	5.38272144375561	5.3887038392949	5.23012230680881	5.38382910703835	5.23012230680881	5.38213556535196	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.38743265934198	5.37770064435634	5.23012230680881
Cox5b	7.36636980155567	7.38904811139033	7.33396971611503	7.46664372323717	7.41691753411317	7.76892380523626	7.89129054372785	7.83898253778667	7.65164141290131	7.24480506614092	7.64791704949947	7.46537805815769	7.63852028988186	7.5742125705782	7.97260353223819	8.00569903419364
Actr1b	7.29548677028886	7.16828997233256	7.18142875759894	7.41288104436077	7.40961022598675	7.33819038432795	7.77468813784368	7.55195580716456	7.18594142343516	6.8117446589378	7.49565481548469	6.97190343163591	7.61475486988987	7.48745808784636	7.85014711803657	8.00569903419364
Zap70	5.23012230680881	5.6946215536024	5.23012230680881	5.56293729923336	5.9806576759639	5.23012230680881	5.51626996273676	5.515501814892	5.23012230680881	5.23012230680881	5.23012230680881	5.38792911403481	5.45659389806311	5.46367929003754	5.23012230680881	5.23012230680881
Tmem131	9.29636467657726	9.27117070710515	9.31235046542166	9.46401796855279	9.50141874553626	9.33663344868233	9.51964877064512	9.21889466042151	9.404071703479	9.26177764804861	9.60681812818575	9.36905418124477	9.63294212658839	9.46426663981941	9.49691543870963	9.62874392021944
Inpp4a	11.3502528729219	11.5131394174984	11.5368041855385	11.5167162090199	11.5621435703761	11.418261208791	11.5513545678366	11.328148318725	11.1781121945398	11.3643946712388	11.446682350782	11.2629649193064	11.501198506291	11.4054759436576	11.4436353672042	11.4426922791692
Coa5	8.30869347523544	7.97493587733395	8.02963788066317	8.21642565583653	8.15480933523161	8.12906644335936	7.93668553271622	7.88049447203493	8.14907979697144	8.15484893819517	8.03317977262665	8.14436049607019	7.96304251889883	7.93293755911894	7.80552054513702	7.8523150959188
Unc50	7.29548677028886	7.4036354498837	7.15712064287601	7.35714149725043	7.39488899443153	7.39244629497592	7.56970528591848	7.46787091772607	7.43320277590689	7.21392758587302	7.38729971749113	7.40830656351616	7.46401400571374	7.39550650013637	7.35482626270975	7.46238636155157
Mgat4a	9.60512539444512	9.50872150627893	9.06891273039857	9.49148706361117	9.4637921079588	9.36511035724365	9.45244210918836	9.29780031107999	8.8628856678088	9.30793799175459	9.06334425119981	8.97286853124252	9.3625244412567	9.2416082413065	9.13198241186556	9.13769382261737
4930594C11Rik	8.56578529244797	8.1839392650875	8.07114007829865	8.52649146982894	8.21359496499257	8.23884931978499	8.44314803801683	7.81782191181148	7.60434586132221	8.01595555688541	7.9287354624937	7.69291062618514	8.11058442492468	8.01886965994821	7.91252019469335	7.96071360416111
2010300C02Rik	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881
Tsga10	7.36636980155567	7.32159783233462	7.08165974047726	7.26944478406576	7.10151954337758	7.16244293127623	7.33355913442918	7.02190934177793	6.95475836853174	7.12549952448822	6.99640179394259	7.00097625583167	7.11665432481394	7.01525530567666	7.04207426972036	7.01487072633874
Lipt1	5.45453774141534	5.76193336642452	5.64649667567528	5.77700379537472	6.37158999947564	5.7359450666608	5.88864756390522	5.86164649559134	5.60468480235646	5.38254811472824	5.70185924780941	5.57362015770508	5.5139147347289	5.52263489960489	5.50543012872646	5.59397187844228
Mitd1	7.48612763664912	7.38904811139033	7.26726412964634	6.85405904450399	6.9393499335017	6.96257504752246	7.01717274909564	6.63073342919444	7.43320277590689	7.18238749372554	6.85122039764928	7.23103688467233	6.74790047459955	6.86600336658227	6.68499128590212	6.58333201865141
Mrpl30	6.29220426046904	6.10339790191491	6.20846599151156	6.01955067041162	6.14843980762504	6.08057371095954	5.91311811012601	6.12076465050617	6.37342571856626	6.31684531487619	6.19610152176432	6.26972391758081	6.16999320219564	6.21507529348651	6.09102066387216	6.08996436514243
Txndc9	8.12549894612833	7.92351499074614	7.84710934752169	7.88696132752239	7.98539166594906	7.88502195818763	7.81806561385081	7.99906077882773	8.0609186435481	7.89979934166416	7.76618021479039	7.96512621339667	7.81684708155802	7.89088924021902	7.99065769408866	7.86686866734381
Eif5b	9.32192891693493	9.04055149599884	9.23658799180166	8.99165532536323	9.01270342106361	9.18873034111992	9.19565128041031	9.13123143564222	9.44829983269446	8.92747747057081	9.12658358958064	9.1386545905607	8.89924727990859	9.22485301434652	9.27178286346545	9.21081983137455
Rev1	7.70650530082777	7.75296051761697	8.01085340684591	7.67052459128629	7.54280232184216	7.73186580013905	7.84985233597672	7.90086059024075	8.17464460060858	7.84367784637929	8.17644018824395	8.01551071788172	7.90412585507506	8.17394088924318	8.3158305797544	8.27171056398833
