mz	p.value	t.score	mode
246.1103	0.951149032	0.104992892	negative
397.1335	0.213379445	1.932699106	negative
319.1014	0.433723753	1.225867148	negative
264.0866	0.878524389	-0.258652495	negative
216.0999	0.625487739	0.795039261	negative
211.0974	0.621743971	-0.80459628	negative
218.0491	0.758174401	-0.520459578	negative
202.0179	0.569930774	0.914927674	negative
228.1603	0.530297634	1.010867576	negative
421.0786	0.615023849	-0.821307465	negative
182.0822	0.725249004	0.594668229	negative
324.0364	0.923462203	0.164133414	negative
111.02	0.411563417	-1.302295984	negative
129.0193	0.375624011	1.403133518	negative
211.0975	0.566478999	0.922889639	negative
272.0482	0.491404389	1.095873673	negative
436.0546	0.623372271	0.799941575	negative
213.0492	0.711427747	-0.617962363	negative
189.0421	0.404313643	1.320712218	negative
189.0483	0.583050255	0.884485793	negative
205.0562	0.867826986	-0.284974629	negative
301.1212	0.381266424	1.388099226	negative
131.0461	0.843722492	0.335355441	negative
166.001	0.386214779	1.374971772	negative
167.998	0.365854553	1.431030654	negative
192.0166	0.324444934	1.546574647	negative
234.0637	0.765049709	-0.504722153	negative
240.079	0.288647508	1.659462855	negative
262.0775	0.796787323	0.438382233	negative
266.0614	0.781948029	-0.467127748	negative
285.0935	0.63119658	-0.784766359	negative
485.0825	0.297592028	1.62960626	negative
204.03	0.318907855	1.563474102	negative
104.0352	0.617853434	0.815418079	negative
321.077	0.137300637	2.327098856	negative
248.0506	0.734634815	0.575337771	negative
324.0936	0.599460419	-0.854526069	negative
154.0622	0.415455698	-1.287963912	negative
328.0277	0.185711505	-2.061437901	negative
381.0408	0.367639534	-1.425384184	negative
152.0022	0.791019399	0.449788472	negative
145.0141	0.867826986	0.286598943	negative
321.1302	0.414572873	-1.290637799	negative
243.0272	0.007950178	-4.602724347	negative
305.0724	0.669873736	0.69928217	negative
288.1198	0.204399983	1.968861652	negative
259.018	0.535662142	0.998042861	negative
193.0352	0.600200674	-0.851352663	negative
273.0518	0.830780092	0.365865437	negative
165.0193	0.102765746	2.579039151	negative
214.0485	0.337879719	-1.505269185	negative
239.0341	0.967365611	0.066869673	negative
188.0563	0.69736085	-0.647954143	negative
112.0403	0.555616423	0.946720059	negative
175.0439	0.535908705	0.996373743	negative
174.0406	0.535662142	0.997364436	negative
243.062	0.411215433	-1.303895385	negative
129.0193	0.040032538	-3.326512165	negative
173.0085	0.117105003	-2.476531245	negative
382.1004	0.131898379	-2.371992864	negative
188.9975	0.968087632	0.063370513	negative
278.0701	0.135380146	-2.339520131	negative
276.0658	0.985977156	-0.025111423	negative
352.082	0.817096706	0.397799121	negative
358.0691	0.808273253	-0.416069524	negative
575.1218	0.34996633	-1.470491842	negative
93.0457	0.532589967	-1.005402875	negative
301.1518	0.339871111	-1.498869793	negative
131.0825	0.890361549	-0.231633412	negative
174.0882	0.846194455	-0.32430049	negative
306.0766	0.845817503	0.328215618	negative
343.094	0.985977156	-0.027984882	negative
83.0502	0.140733718	2.308269522	negative
225.0186	0.2737093	-1.702505454	negative
406.2096	0.006862159	-4.734100551	negative
109.0406	0.002466143	-5.747319844	negative
250.0929	0.01019549	-4.369207266	negative
385.26	0.650598917	0.740295903	negative
137.0356	0.002424072	-5.809102025	negative
245.1139	0.005199548	4.961112348	negative
165.0404	0.155233949	2.223196647	negative
182.0128	0.656470644	-0.7264856	negative
253.0498	0.555083541	0.948339067	negative
113.0244	0.900796641	0.205083723	negative
261.016	0.067908481	-2.918631757	negative
346.0559	0.001742661	6.45973336	negative
161.0455	0.917397938	0.176361267	negative
239.0341	0.409743707	-1.308210334	negative
283.007	0.058816562	3.030274401	negative
168.0277	0.328143955	-1.534844676	negative
558.0652	0.00377139	5.355028709	negative
147.0492	0.423212179	-1.263611905	negative
146.0458	0.432735761	-1.229731821	negative
160.0251	0.547868834	0.966589548	negative
168.9811	0.293871871	-1.640150557	negative
397.9885	0.777454107	-0.480464017	negative
303.103	0.342411018	1.490196693	negative
247.0932	0.644535317	0.756502237	negative
135.0299	0.782486838	-0.464923049	negative
606.0745	0.958193573	-0.083103142	negative
214.0485	0.83251491	0.360561917	negative
132.0302	0.9542046	-0.098198433	negative
207.0146	0.513691834	-1.045919091	negative
465.9907	0.808942314	-0.414357726	negative
476.2782	0.159445421	-2.203592532	negative
79.9573	0.343832675	1.484682265	negative
110.9851	0.187173172	-2.050176881	negative
147.0299	0.593017287	-0.867268696	negative
500.2779	0.404949047	-1.317751227	negative
662.1035	0.088948562	-2.708748579	negative
115.0036	0.565200731	-0.925011694	negative
373.2405	0.830780092	-0.369539885	negative
409.2381	0.878524389	-0.258000521	negative
413.2564	0.758618746	-0.518712831	negative
375.1822	0.647714283	-0.750567676	negative
316.1165	0.832562024	0.36004254	negative
321.0874	0.47778096	1.126099582	negative
231.0984	0.515794965	-1.041686246	negative
211.0011	0.189487101	-2.040043649	negative
236.0773	0.118610338	-2.464381135	negative
247.0932	0.011429522	4.251518107	negative
258.0382	0.472610571	-1.138830967	negative
463.0571	0.878524389	-0.257398057	negative
329.0305	0.418580827	1.278934815	negative
333.0593	0.705268711	-0.632579013	negative
247.0931	0.126255688	2.412140145	negative
535.0362	0.219034548	-1.910440113	negative
323.0286	0.001884278	6.169708732	negative
321.1304	0.985977156	0.025055617	negative
613.1424	0.033473828	-3.458486621	negative
72.9931	0.419923499	1.273398619	negative
809.4143	0.097790178	-2.623507372	negative
160.0615	0.430310555	-1.239793178	negative
217.0829	0.329046097	-1.530464589	negative
241.0117	0.3775021	-1.395179466	negative
239.2019	0.633974287	0.775683497	negative
259.0934	0.8313499	0.364695472	negative
565.0486	0.577023336	-0.89760944	negative
259.0221	0.745722377	-0.551726011	negative
291.0834	0.262324965	-1.752782611	negative
261.1345	0.537459066	0.990266501	negative
351.0123	0.654772914	-0.730371325	negative
203.0673	0.891297497	-0.225944107	negative
291.0834	0.603513097	-0.846669761	negative
427.0041	0.230936235	-1.870965069	negative
280.9775	0.320501337	-1.558843115	negative
329.0304	0.485708571	-1.107750334	negative
502.9363	0.175652984	-2.116476107	negative
230.0669	0.356882449	-1.450540989	negative
171.0065	0.411796694	1.299968547	negative
307.1147	0.709499522	-0.623437487	negative
347.04	0.343254323	1.487094574	negative
410.1318	0.098772044	2.613309337	negative
365.0047	0.437825995	1.214488451	negative
411.1886	0.353038293	-1.459828386	negative
429.1541	0.477609443	-1.12930913	negative
