mz	p.value	t.score	mode
241.0731	0.599749201	-0.852796546	negative
413.1284	0.264898928	1.742026331	negative
599.3204	0.550294743	0.959323418	negative
239.0341	0.02386141	3.673419341	negative
153.0057	0.881936788	0.246661344	negative
182.0129	0.958193573	0.083558048	negative
183.016	0.847060883	0.32279926	negative
152.0023	0.945743692	0.118118085	negative
130.0873	0.270460365	1.720890522	negative
251.1035	0.636509696	-0.768685741	negative
213.1859	0.096310678	2.644635979	negative
347.0354	0.894989388	-0.216602612	negative
125.0178	0.891759582	0.222071365	negative
116.0352	0.626302645	0.792666446	negative
160.0615	0.733762397	0.579426827	negative
218.1032	0.893071383	0.219885404	negative
269.0673	0.389458563	1.364925226	negative
187.0975	0.538293966	0.988260038	negative
443.2419	0.482998037	1.112634349	negative
307.0382	0.321468198	1.556493471	negative
383.1552	0.285768757	-1.667024052	negative
217.1192	0.599460419	0.854073237	negative
245.0431	0.775840102	0.486482214	negative
281.0458	0.341306294	1.495383004	negative
201.1247	0.846194455	0.324973535	negative
278.1144	0.000914303	7.016240511	negative
385.9696	0.478852999	1.12230791	negative
187.1087	0.027516408	3.588629708	negative
216.1133	0.391454184	1.353919012	negative
274.0719	0.869968161	-0.277852051	negative
208.9346	0.387370192	1.372441265	negative
251.0866	0.577023336	0.897634932	negative
231.1752	0.786341146	0.457615562	negative
248.1032	0.387688073	1.36936268	negative
144.8697	0.343832675	1.484919431	negative
168.9141	0.363098956	1.437278232	negative
117.0193	0.865041024	-0.29054423	negative
182.0129	0.958193573	0.086935386	negative
130.0509	0.931738132	0.140295675	negative
577.2558	0.75603984	-0.528591652	negative
443.2419	0.533341588	1.003527051	negative
247.119	0.502237711	1.073445744	negative
102.0559	0.264534233	-1.744506138	negative
171.0231	0.238151346	-1.846551053	negative
117.0193	0.763405833	-0.507580917	negative
215.0323	0.192452549	-2.02025445	negative
159.0663	0.886706975	0.238529249	negative
217.048	0.208861995	1.951709138	negative
130.0509	0.017888413	-3.902987353	negative
146.0459	0.705268711	0.633330381	negative
128.0353	0.044178408	-3.256608976	negative
176.0928	0.021310858	-3.753267309	negative
189.0403	0.060472182	-2.99849245	negative
415.1546	0.046315074	3.204922299	negative
300.0394	0.580702089	-0.889413596	negative
144.0454	0.244385211	1.814391232	negative
152.0022	0.569930774	0.914906251	negative
80.9651	0.172581648	2.137134081	negative
272.054	0.521082394	-1.028683148	negative
309.0885	0.873630901	-0.270836135	negative
129.0193	0.577023336	0.897435689	negative
248.1031	0.201592653	1.977763287	negative
159.0103	0.432735761	1.228508065	negative
305.1182	0.888345256	0.235599941	negative
309.0883	0.444895534	-1.198312921	negative
116.0717	0.558040603	-0.943007789	negative
80.9651	0.29251064	1.643674561	negative
125.018	0.105293842	2.561693392	negative
302.1387	0.052383589	3.121188141	negative
753.2008	0.924158555	0.162768217	negative
305.0177	0.706097158	0.630173775	negative
454.1722	0.033473828	-3.45372628	negative
457.1808	0.033927494	-3.438274734	negative
152.0022	0.810541688	-0.411104736	negative
293.1502	0.283942621	1.672481356	negative
146.0459	0.409853489	-1.307533722	negative
128.0353	0.369326212	1.420972396	negative
467.2131	0.046680094	-3.195122647	negative
418.9557	0.466177462	-1.152862775	negative
347.9187	0.147592979	2.268833605	negative
185.0124	0.981880737	-0.036019939	negative
187.0723	0.109307605	-2.533772581	negative
411.239	0.261336501	1.757483136	negative
659.3273	0.052755213	-3.110915545	negative
244.0936	0.044714563	3.233552378	negative
238.0501	0.8313499	0.363799019	negative
180.0665	0.030053918	3.52972623	negative
132.0302	0.264898928	1.742186342	negative
288.0211	0.097039425	-2.633592649	negative
278.059	0.121370545	2.441794878	negative
114.056	0.34996633	-1.470637393	negative
120.0698	0.16977087	2.150019247	negative
202.0729	0.163714667	2.179576454	negative
283.0682	0.018593087	-3.860160883	negative
287.0519	0.250234667	-1.79679635	negative
111.0199	0.832568037	-0.359572065	negative
185.0125	0.869120617	0.282369816	negative
289.0723	0.945918882	0.116912106	negative
187.0975	0.422161606	1.266489157	negative
453.1975	0.086816637	-2.731020667	negative
173.0566	0.689503791	0.664197539	negative
219.0985	0.067269897	2.927161534	negative
295.1545	0.830780092	0.366382369	negative
252.0734	0.592938085	-0.867825504	negative
173.0566	0.712097995	-0.615803583	negative
462.9435	0.730780958	-0.58582341	negative
255.1234	0.191581062	2.029928839	negative
173.0929	0.374707149	1.40609194	negative
238.1103	0.523594763	1.023554508	negative
462.9434	0.27232498	-1.709446137	negative
211.0012	0.423797536	-1.261016463	negative
300.0393	0.762240051	-0.50941846	negative
189.088	0.074289204	2.855023919	negative
336.0603	0.669364594	-0.700803419	negative
353.1284	0.812568725	0.407766654	negative
238.05	0.123627246	2.425701664	negative
211.0392	0.102007633	2.585292202	negative
245.0429	0.871780024	0.273528634	negative
323.0375	0.018593087	-3.860824807	negative
129.0192	0.483386674	-1.111610978	negative
404.1497	0.878524389	-0.25916066	negative
166.0292	0.396723053	-1.340950899	negative
304.034	0.917397938	0.176453537	negative
300.0393	0.621791452	-0.803727133	negative
318.1145	0.981880737	-0.035865561	negative
129.0193	0.328619427	-1.531789382	negative
473.218	0.154774828	2.230019899	negative
253.0351	0.237005315	1.849904216	negative
106.9807	0.663280849	0.713637566	negative
124.0073	0.606999315	0.839766111	negative
251.0176	0.509510366	1.054494899	negative
79.9573	0.648416911	0.745785056	negative
152.0021	0.511046251	-1.051451972	negative
771.0672	0.776732076	-0.483408428	negative
80.9651	0.576380935	0.903197841	negative
521.0325	0.342783411	1.489000341	negative
130.0509	0.062205748	-2.980038366	negative
205.0828	0.006620653	4.773427571	negative
245.043	0.521082394	-1.029267653	negative
175.0722	0.049096007	3.162218278	negative
283.0063	0.058816562	-3.02265325	negative
159.0775	0.776732076	0.48277956	negative
173.093	0.611276285	-0.830063803	negative
179.056	0.916796596	-0.178062968	negative
311.1864	0.875543971	-0.266651714	negative
241.0117	0.231379714	-1.86840306	negative
270.0578	0.85522679	0.307905154	negative
297.0266	0.103533639	2.57425028	negative
299.0309	0.124621441	2.420666418	negative
452.9811	0.084265438	2.752628709	negative
74.0247	0.62044331	-0.807677542	negative
248.1034	0.946914393	0.112712026	negative
205.0644	0.096310678	2.641872782	negative
383.1142	0.350059133	-1.469554661	negative
365.1355	0.128117993	-2.397910752	negative
236.0233	0.736975113	0.568924327	negative
290.0879	0.114643022	-2.495919231	negative
283.1135	0.785915497	-0.458576609	negative
88.0403	0.995268063	-0.008619428	negative
130.0621	0.707429956	0.627726378	negative
159.0774	0.814701767	-0.403400235	negative
431.2441	0.416419412	-1.28341747	negative
208.9848	0.682965615	0.677035036	negative
299.0873	0.547868834	-0.966134101	negative
259.0907	0.128117993	-2.397449344	negative
268.1085	0.170361921	2.146288675	negative
276.1127	0.480556895	1.11846365	negative
308.0986	0.419923499	-1.273619889	negative
118.0509	0.285838852	-1.666304144	negative
269.1118	0.102007633	2.584375458	negative
203.0285	0.778773561	0.478446846	negative
275.0648	0.058816562	-3.020297623	negative
280.0754	0.880782791	0.24926381	negative
287.0836	0.046377388	3.200988112	negative
292.0866	0.835272	-0.353576207	negative
173.0178	0.366283942	1.428193357	negative
226.011	0.052392596	3.119314773	negative
231.0135	0.88183938	-0.247252229	negative
235.0748	0.003323972	5.464617457	negative
251.0488	0.009133532	4.489348183	negative
221.0383	0.496195726	1.086545003	negative
361.1191	0.849868278	0.318243483	negative
416.9922	0.925327085	0.157076733	negative
197.0606	0.737855707	-0.56742471	negative
354.9428	0.633974287	-0.77613766	negative
266.9843	0.192452549	-2.019875467	negative
137.0357	0.266454079	-1.737370049	negative
108.0124	0.21783636	-1.914122198	negative
135.0299	0.746451953	-0.548538645	negative
203.0285	0.374488329	1.407635909	negative
308.0987	0.044178408	-3.251929737	negative
93.0457	0.2528719	-1.789632234	negative
208.9848	0.7099919	-0.621038698	negative
303.1247	0.900796641	-0.205030462	negative
203.056	0.57655203	0.902519662	negative
179.056	0.365865748	-1.429954418	negative
239.077	0.353058021	-1.458733431	negative
217.0296	0.376659577	-1.399416449	negative
189.088	0.646947676	-0.753040875	negative
199.9692	0.606999315	-0.839540205	negative
116.0465	0.187064899	-2.051188728	negative
195.0509	0.18595415	-2.060026855	negative
673.2324	0.508280002	-1.057591743	negative
74.0247	0.173323877	-2.131857752	negative
338.9938	0.900796641	0.206207791	negative
301.1212	0.305755035	1.59734785	negative
259.0063	0.539092231	-0.985870671	negative
161.0455	0.387688073	-1.369935203	negative
245.114	0.102007633	2.583807836	negative
280.1037	0.18405521	-2.074279908	negative
191.0672	0.0024095	5.962879602	negative
217.0431	0.819930443	0.392137982	negative
259.0062	0.02093338	-3.776652543	negative
274.05	0.193991434	-2.012178274	negative
361.1188	0.404313643	-1.322532744	negative
378.134	0.174249694	-2.123955992	negative
302.0451	0.262324965	-1.750498119	negative
342.135	0.081347693	2.790175234	negative
145.0618	0.120128697	2.452426377	negative
164.0386	0.283800946	1.673881221	negative
94.925	0.471680444	1.14159589	negative
127.0513	0.230936235	1.870752385	negative
208.9848	0.635382303	-0.772168987	negative
203.0284	0.619013388	-0.81082603	negative
249.0161	0.388137122	1.367577777	negative
373.0105	0.537459066	0.990332256	negative
141.0169	0.537306992	0.993579606	negative
141.0709	0.542106282	0.977924583	negative
291.0073	0.56222322	0.933734215	negative
633.0374	0.713245921	0.613072958	negative
140.9627	0.609837309	0.833297801	negative
565.0493	0.648416911	-0.745399137	negative
147.0804	0.845817503	0.327583474	positive
213.221	0.844173494	-0.331828929	positive
299.0613	0.869960932	0.27947931	positive
112.0508	0.447968077	1.191021017	positive
126.022	0.192452549	-2.018297543	positive
132.0771	0.528030399	-1.014844443	positive
142.9481	0.695177381	0.652227773	positive
144.1019	0.118081608	-2.470394345	positive
162.1124	0.895792229	0.21432134	positive
175.1188	0.750684964	0.537664844	positive
186.1122	0.243775188	-1.818930078	positive
248.149	0.010989796	-4.277708545	positive
256.9274	0.492451221	1.093185861	positive
260.1238	0.552822226	0.954532535	positive
293.0977	0.762062227	0.510538245	positive
324.0586	0.045621488	3.219834033	positive
332.8844	0.450582991	1.184271363	positive
98.984	0.52471035	1.020715791	positive
160.0604	0.79513005	0.441260104	positive
204.123	0.004360763	-5.113770956	positive
244.1289	0.435618105	-1.222034208	positive
315.0796	0.736975113	0.569642952	positive
354.8663	0.661842776	0.715847795	positive
272.1061	0.432735761	-1.230021058	positive
113	0.502086297	-1.075988811	positive
138.0219	0.327003277	1.537941951	positive
278.0803	0.57671927	-0.901017285	positive
280.0847	0.446131409	-1.194710365	positive
608.0884	0.387888299	1.368497042	positive
218.1181	0.18450408	2.07007648	positive
230.0957	0.043183414	-3.275668896	positive
356.0749	0.539925135	0.983599237	positive
129.0183	0.009564347	-4.439583275	positive
152.0567	0.008212074	4.56878288	positive
171.0288	0.444895534	1.198122919	positive
204.0989	0.124947214	2.418420963	positive
364.0648	0.006809982	4.748677478	positive
113.0346	0.097039425	2.633691259	positive
101.0234	0.29251064	-1.643895983	positive
198.1237	0.055805748	-3.06972489	positive
232.1178	0.26753092	-1.732071215	positive
317.0553	0.664706141	0.710369425	positive
308.0904	0.654772914	-0.730437511	positive
354.096	0.75739043	0.523102561	positive
315.0799	0.88233047	-0.245712503	positive
137.0458	0.374707149	1.405699834	positive
349.0539	0.541998144	0.97869734	positive
118.0499	0.237005315	1.849886257	positive
114.0551	0.270516896	-1.71817544	positive
232.9732	0.365224019	1.432623651	positive
475.0865	0.201033699	-1.979948165	positive
241.1544	0.253173986	-1.788339927	positive
348.0699	0.002421325	5.893939681	positive
113.0346	0.390797416	1.356807114	positive
218.1183	0.162431031	2.185283503	positive
608.0884	0.583747071	-0.882311835	positive
137.0458	0.192452549	2.017867501	positive
152.0566	0.017252794	3.925946993	positive
233.1494	0.018935122	3.846482239	positive
364.0647	0.003816165	5.33427732	positive
123.0554	0.011615814	-4.240212459	positive
155.0814	0.105145629	2.56339876	positive
203.1391	0.830780092	-0.370087671	positive
349.0541	0.550294743	0.960043521	positive
338.9497	0.008343915	-4.556362676	positive
246.1228	0.736673142	-0.571100633	positive
156.0768	0.270516896	1.717396231	positive
123.0552	0.008149795	4.576955825	positive
125.0961	0.597867124	0.857915503	positive
83.0603	0.114106735	2.503079517	positive
144.1383	0.238565453	1.843674611	positive
181.1222	0.297844461	-1.627197483	positive
160.0969	0.269748867	1.72413412	positive
151.0964	0.414572873	1.291260432	positive
169.0967	0.975619984	0.046819	positive
167.1066	0.966132705	0.069848021	positive
174.1126	0.151424026	2.251925351	positive
184.0875	0.299358845	1.619835436	positive
185.1648	0.404313643	1.320048618	positive
209.1284	0.951149032	-0.105394042	positive
228.1592	0.323427502	1.549003004	positive
215.1279	0.564209151	0.927678047	positive
217.1545	0.925881002	0.153841361	positive
219.1039	0.292007794	1.64639458	positive
202.0531	0.429236023	-1.242404094	positive
237.1596	0.73328511	-0.581944019	positive
227.1074	0.792044283	0.447660021	positive
258.1698	0.342391013	1.490769004	positive
269.2109	0.731123914	0.584961488	positive
272.2215	0.554316566	-0.951949692	positive
278.1544	0.429236023	1.242926471	positive
298.0965	0.056900645	-3.058650953	positive
345.1649	0.855329984	0.307004544	positive
399.1472	0.175652984	2.115850736	positive
74.0964	0.135089184	2.341481684	positive
83.0855	0.575644318	0.905063352	positive
89.0597	0.370676318	1.416178985	positive
99.0553	0.264898928	1.741916899	positive
161.1213	0.192452549	2.020133357	positive
176.0705	0.185425791	2.065101584	positive
194.1038	0.47778096	1.12786468	positive
223.1439	0.615039499	0.819433179	positive
250.1177	0.299358845	1.618771525	positive
251.13	0.846194455	0.324326897	positive
309.1347	0.401918469	-1.329636875	positive
323.1316	0.258845615	1.766580248	positive
330.2997	0.654772914	0.730443721	positive
349.2008	0.806896102	0.418618244	positive
383.1524	0.299358845	1.621563242	positive
452.191	0.147592979	2.269140671	positive
93.0699	0.776732076	0.482687557	positive
211.144	0.828285239	0.374103824	positive
112.0756	0.140927676	2.304440481	positive
163.0866	0.56391854	0.929432305	positive
187.1142	0.49451472	1.089359125	positive
189.0733	0.269358978	1.7263794	positive
195.1227	0.2737093	1.704749304	positive
219.1039	0.266643518	1.736364415	positive
226.1658	0.045770406	3.216675239	positive
231.1039	0.057768375	3.046942109	positive
278.2111	0.140733718	2.309580772	positive
309.2171	0.792299583	0.44644259	positive
344.3153	0.054061837	3.093416258	positive
357.1331	0.712075047	0.61632227	positive
357.2994	0.19719541	1.997190241	positive
111.0805	0.747168021	0.546834636	positive
212.1184	0.030053918	3.527500099	positive
225.1232	0.554357002	0.950673326	positive
245.1857	0.781323438	0.469370917	positive
270.2788	0.413966056	1.294008545	positive
162.9069	0.181234341	2.088222048	positive
206.1388	0.758646546	-0.517724637	positive
231.1701	0.927095009	0.150889017	positive
303.1547	0.904563767	0.19874319	positive
494.238	0.06795588	2.917020896	positive
129.1021	0.917675557	0.175538252	positive
348.0699	0.002466143	5.756070602	positive
361.2276	0.705392155	0.631978613	positive
136.0215	0.423797536	1.261092249	positive
140.0454	0.485708571	1.106932288	positive
201.1233	0.350059133	1.469263096	positive
289.1866	0.831679699	0.362944084	positive
323.1312	0.888660463	-0.234268354	positive
120.0655	0.0726829	-2.870888219	positive
134.0811	0.243775188	-1.81748209	positive
175.0866	0.7099919	0.622276394	positive
242.1746	0.613179925	-0.825686607	positive
415.2107	0.438574231	1.212268925	positive
152.1433	0.957554874	0.092436763	positive
173.0999	0.824847457	-0.383084753	positive
180.1018	0.275863615	1.694992754	positive
359.1344	0.270460365	1.720047443	positive
223.1438	0.537459066	-0.990891806	positive
219.1741	0.654859786	0.728914996	positive
139.0753	0.950937976	0.106247997	positive
166.0862	0.093427924	2.669775072	positive
261.0862	0.371063583	1.414385278	positive
349.2006	0.922925445	0.167680621	positive
181.072	0.841804595	0.338488175	positive
160.1331	0.745722377	0.551858661	positive
189.1232	0.85691058	0.304021043	positive
147.0763	0.086047036	-2.736636828	positive
241.1656	0.738696626	0.565515324	positive
253.118	0.815449015	-0.400754472	positive
367.2691	0.490956918	1.097168685	positive
153.1273	0.722385986	0.598984683	positive
167.1064	0.939055604	-0.128432673	positive
218.0479	0.615039499	-0.819530338	positive
413.2027	0.19719541	-1.997249067	positive
164.107	0.30194302	1.6114651	positive
194.1538	0.577023336	0.897345538	positive
250.074	0.85155636	-0.313230176	positive
280.1288	0.002424072	5.820059337	positive
161.092	0.077476717	-2.827869941	positive
169.0969	0.725249004	0.594943274	positive
775.3509	0.781323438	0.470017302	positive
167.1064	0.835799965	-0.349411916	positive
180.0688	0.029528232	-3.54387843	positive
200.1185	0.416306209	1.285551691	positive
226.1657	0.151784859	2.249000373	positive
85.0396	0.418580827	1.277952053	positive
139.0752	0.255410106	1.778443285	positive
367.2691	0.353038293	1.460836469	positive
671.2426	0.169439276	2.156475991	positive
245.1494	0.985977156	-0.026443733	positive
327.2273	0.343832675	1.484466082	positive
353.142	0.767997721	0.498953006	positive
129.0442	0.432735761	1.22833294	positive
202.053	0.20940469	-1.949622551	positive
397.1805	0.664706141	0.710948602	positive
244.1904	0.758646546	-0.51800469	positive
216.159	0.875287959	0.267431369	positive
160.1331	0.548759211	0.963574075	positive
223.1438	0.992690137	-0.013158376	positive
228.1584	0.631964789	0.782454802	positive
200.128	0.544114481	0.973873285	positive
298.0964	0.043622446	-3.269016837	positive
172.1694	0.327003277	1.537480416	positive
255.17	0.792299583	0.44663241	positive
123.0553	0.047234306	3.187381849	positive
129.0442	0.370676318	1.416120863	positive
241.1548	0.658377824	0.723159583	positive
325.1298	0.444332401	1.200273148	positive
232.1541	0.001869257	-6.328543464	positive
355.2834	0.135659353	2.335931509	positive
226.1657	0.034612065	3.422762938	positive
280.0844	0.844173494	0.332709465	positive
639.252	0.102007633	2.585142903	positive
161.0921	0.044178408	-3.251463075	positive
228.1134	0.423212179	-1.263031655	positive
166.0723	0.441266628	1.206300154	positive
148.0967	0.377005597	1.396701085	positive
301.1752	0.891759582	0.222813194	positive
357.1331	0.869968161	0.277115862	positive
256.2631	0.244385211	1.813852615	positive
140.0705	0.534399791	1.000938264	positive
203.0812	0.798766585	0.429166981	positive
212.1179	0.155551032	2.221337475	positive
218.1036	0.346649746	1.478432629	positive
321.1156	0.208710545	1.953243796	positive
183.1379	0.729991681	0.587669966	positive
232.1702	0.915166142	0.182468715	positive
161.0924	0.442809243	1.203509825	positive
140.0706	0.530648063	1.009464251	positive
276.1956	0.238712613	1.842063139	positive
146.1175	0.376659577	1.399990938	positive
401.1517	0.173560586	2.129641827	positive
247.1437	0.565200731	0.925050762	positive
316.2008	0.762087587	0.510053724	positive
255.1699	0.831692958	0.362464986	positive
312.1373	0.000409043	-7.73234273	positive
351.1263	0.044714563	3.239010318	positive
309.1352	0.705156772	-0.634523917	positive
401.2064	0.770503547	0.494618711	positive
245.1495	0.867826986	0.285251217	positive
228.1133	0.798280085	0.430230235	positive
483.0777	0.289986694	1.655035548	positive
202.1437	0.745433903	0.553628823	positive
384.1447	0.174249694	2.12382249	positive
167.0862	0.152016685	2.245887392	positive
171.149	0.135659353	2.336355158	positive
201.1131	0.28354424	1.67594487	positive
200.1281	0.482958887	1.113637153	positive
206.0658	0.762062227	-0.510900058	positive
241.1543	0.828285239	-0.376153818	positive
166.0723	0.541998144	0.978706712	positive
206.1546	0.851329959	0.313967229	positive
219.174	0.543561557	0.97506854	positive
230.1748	0.174506048	2.120826491	positive
181.0971	0.733762397	0.577737045	positive
120.0657	0.633974287	0.775441125	positive
160.112	0.706097158	0.62977645	positive
208.1177	0.270460365	1.719880494	positive
276.1955	0.632228908	0.781674507	positive
302.3048	0.946009819	0.115376276	positive
163.1116	0.473867298	1.136078116	positive
167.0861	0.395668798	1.34380834	positive
222.1236	0.537459066	0.992783596	positive
317.0555	0.705156772	0.634722962	positive
135.0665	0.142680839	2.2922514	positive
139.0977	0.508065948	1.059295615	positive
213.1231	0.605047056	0.843822868	positive
218.1034	0.330256837	1.526622611	positive
232.1186	0.422490005	1.265490529	positive
247.1437	0.712782685	0.61453153	positive
182.1539	0.56374878	0.930112374	positive
225.0915	0.224956269	1.889841729	positive
389.1576	0.776732076	0.483991096	positive
127.0726	0.174249694	2.125918846	positive
150.1124	0.181234341	2.089179238	positive
187.1077	0.924741366	0.158829873	positive
314.2685	0.692831906	0.658148873	positive
112.0756	0.139110853	2.317825348	positive
140.1433	0.898526237	-0.210395766	positive
166.1225	0.781323438	0.469518844	positive
189.1232	0.825057252	0.381910257	positive
227.1751	0.154931571	2.225008646	positive
248.175	0.214185173	1.929177238	positive
282.2788	0.7099919	0.621628102	positive
318.2997	0.745722377	0.550821768	positive
320.1228	0.704721688	-0.636364726	positive
358.2007	0.958193573	0.082998144	positive
73.0648	0.259662807	1.763685286	positive
90.0549	0.192452549	2.022446466	positive
130.1226	0.891243535	0.22832416	positive
147.0915	0.157132532	2.215212417	positive
170.0923	0.049802765	-3.153635994	positive
212.1181	0.136385928	2.332311205	positive
227.1387	0.678181862	0.68647271	positive
316.2839	0.303909395	1.605395026	positive
89.0538	0.114106735	2.500225539	positive
202.2164	0.58222628	-0.886114934	positive
241.1544	0.651348314	-0.737760988	positive
137.0458	0.623372271	0.800285197	positive
529.3872	0.87035374	-0.275944976	positive
775.3516	0.61890923	0.812317405	positive
135.1167	0.916556877	0.17883931	positive
209.1899	0.569137831	0.918519174	positive
223.2055	0.919469866	-0.172865561	positive
274.216	0.745433903	0.553438854	positive
302.2476	0.743387953	0.55768243	positive
328.2625	0.810541688	0.410943977	positive
412.3204	0.925327085	-0.15688067	positive
250.0739	0.588587694	-0.874728684	positive
268.1036	0.958193573	-0.085128656	positive
281.2218	0.733762397	0.577798248	positive
399.1467	0.798280085	-0.433083194	positive
325.1298	0.462410622	1.159278599	positive
383.1524	0.673173127	-0.693910991	positive
109.076	0.159948615	2.199264625	positive
110.0965	0.329276096	1.528954648	positive
201.1595	0.958193573	0.087882023	positive
211.1438	0.844173494	0.332798083	positive
292.959	0.447968077	1.191256506	positive
257.211	0.513454702	1.046752285	positive
284.0086	0.141751557	-2.296630087	positive
316.0794	0.289665634	1.656835915	positive
448.0145	0.084519132	-2.749054979	positive
266.097	0.924741366	-0.158647211	positive
318.0265	0.798280085	0.431330675	positive
195.0473	0.581630003	0.887764064	positive
150.0137	0.958193573	-0.088066344	positive
133.0607	0.969708323	0.058309337	positive
106.0497	0.874600339	0.268728846	positive
547.115	0.123329224	2.427846901	positive
415.08	0.342876269	1.488299708	positive
416.0834	0.131449713	2.378114141	positive
424.3419	0.537459066	-0.990982203	positive
103.039	0.712075047	0.616282997	positive
162.1124	0.978950088	-0.041603454	positive
163.1155	0.971926992	-0.054508749	positive
536.3706	0.930126899	0.144070887	positive
333.0858	0.531287225	-1.00767483	positive
355.0676	0.704721688	-0.635951121	positive
399.0315	0.745722377	-0.551236697	positive
447.0423	0.212355496	1.93665958	positive
248.1238	0.435254713	-1.223066999	positive
140.0106	0.439102437	1.21099289	positive
90.055	0.835747162	-0.352343352	positive
164.1069	0.261723471	1.75542855	positive
118.0653	0.272442411	1.708611396	positive
373.0322	0.328430231	1.533336809	positive
400.3416	0.054942801	-3.081707075	positive
189.1233	0.849868278	-0.318045646	positive
497.0922	0.825057252	0.382237106	positive
354.0959	0.779179765	0.475193233	positive
156.0768	0.606999315	-0.839808638	positive
228.0978	0.967365611	0.067064721	positive
278.0802	0.430310555	-1.239871568	positive
439.1001	0.505621871	-1.066421969	positive
461.0818	0.41282552	-1.297362358	positive
461.1953	0.824362849	-0.385160215	positive
482.5623	0.2737093	-1.70286263	positive
577.1351	0.377005597	-1.39667154	positive
759.6346	0.241969147	-1.828791591	positive
767.6175	0.19719541	-1.997477534	positive
86.06	0.060472182	-2.999346647	positive
280.0846	0.390797416	-1.359218767	positive
768.1188	0.221571133	-1.902769849	positive
248.1239	0.454486527	-1.173256129	positive
426.3574	0.312110228	-1.581274287	positive
160.0968	0.004114969	-5.273442917	positive
256.0724	0.779179765	-0.477309976	positive
241.1544	0.746451953	-0.54879056	positive
408.2235	0.044178408	-3.254539972	positive
174.1125	0.003185652	5.535205224	positive
348.0699	0.001869257	6.239991987	positive
567.1678	0.018014207	3.889944581	positive
198.1236	0.174249694	-2.124285788	positive
306.049	0.001884278	-6.171741003	positive
417.2214	0.005199548	-4.98402252	positive
144.1019	0.046680094	-3.194744922	positive
255.0641	0.939055604	0.128756278	positive
95.0604	0.16126967	-2.191079189	positive
139.0502	0.322666036	-1.551513044	positive
162.1156	0.01105461	4.27157561	positive
560.0782	0.004114969	5.239375687	positive
160.0968	0.006862159	-4.732081838	positive
227.0337	0.339478843	-1.501332234	positive
358.1423	0.012738628	-4.156779207	positive
148.0604	0.42888285	-1.244897372	positive
149.0638	0.432159772	-1.232602154	positive
171.0764	0.619013388	-0.811710802	positive
290.1137	0.169439276	2.155971763	positive
347.0434	0.622622169	-0.802236473	positive
608.0881	0.29448863	-1.638023	positive
319.0445	0.339600525	-1.500575197	positive
219.0973	0.534399791	1.000249435	positive
260.1965	0.532589967	1.004998322	positive
274.187	0.468414792	-1.147245898	positive
229.1545	0.985977156	-0.029105977	positive
550.3865	0.678745865	0.684434837	positive
138.0551	0.339871111	-1.498474835	positive
156.0768	0.254342242	-1.781431804	positive
170.0925	0.035973179	-3.400112508	positive
172.0717	0.243996712	1.815987966	positive
305.0289	0.56946942	-0.917172698	positive
134.0448	0.75603984	-0.528934039	positive
164.0918	0.523594763	1.023520584	positive
333.0859	0.869960932	-0.279775608	positive
461.1954	0.482187813	-1.115559151	positive
180.0866	0.779179765	-0.475050056	positive
188.0917	0.366283942	-1.42841497	positive
248.1238	0.502086297	-1.074247335	positive
132.0655	0.891662982	-0.223688472	positive
136.0618	0.044714563	3.232900899	positive
478.2926	0.176504107	-2.111795707	positive
664.1155	0.013341699	-4.123034108	positive
123.0552	0.021145072	-3.761418234	positive
375.1064	0.328430231	-1.53322747	positive
818.5673	0.615023849	0.820889759	positive
101.0597	0.312110228	-1.581286062	positive
232.1289	0.223337121	1.895139294	positive
330.1114	0.005305364	-4.943792275	positive
100.0757	0.384283065	-1.382131385	positive
550.3863	0.478808329	1.122903365	positive
563.3933	0.968087632	0.063499956	positive
104.107	0.862627901	-0.294839183	positive
258.1098	0.835747162	-0.352083535	positive
296.0655	0.445045776	-1.196883487	positive
338.1818	0.013090296	-4.135449065	positive
414.0642	0.615023849	-0.820797755	positive
344.127	0.0097897	-4.400628345	positive
418.1249	0.537459066	0.990126686	positive
405.0087	0.065472742	-2.945814399	positive
171.0765	0.56222322	0.933417722	positive
227.1137	0.271276866	1.71401562	positive
278.0804	0.815449015	-0.400671056	positive
396.0968	0.974489899	-0.049764195	positive
461.1954	0.838551268	-0.34503435	positive
325.0428	0.002466143	5.751657746	positive
477.1904	0.131487185	2.376091021	positive
97.0284	0.006422195	4.815602717	positive
335.0734	0.389763027	-1.36391766	positive
132.0656	0.239010579	-1.840731999	positive
261.1084	0.309250554	1.590069755	positive
346.0403	0.054061837	-3.092930773	positive
328.1113	0.422019145	1.26769754	positive
367.1219	0.753503189	-0.532960565	positive
324.0588	0.027975428	-3.578453861	positive
609.3799	0.783724177	-0.462155458	positive
162.076	0.253720314	-1.785887872	positive
163.0793	0.269358978	-1.72659071	positive
413.0472	0.626302645	-0.792839817	positive
405.0089	0.597867124	-0.858089081	positive
98.0601	0.410088517	-1.306157263	positive
219.0975	0.185529417	-2.063447155	positive
248.1239	0.900796641	-0.204286894	positive
376.0637	0.252086394	-1.79200979	positive
247.0924	0.2737093	-1.702892329	positive
331.0444	0.368714133	-1.423052662	positive
372.0709	0.266450265	-1.737977682	positive
391.0654	0.319361678	-1.56207314	positive
464.0818	0.267090481	-1.733611855	positive
315.0794	0.182373497	-2.083339576	positive
299.1058	0.160898495	-2.194644698	positive
242.1147	0.271368436	-1.713233161	positive
